Moldova,MDA,Individuals using the Internet (% of population),27.5,43.37,70.99999911
Madagascar,MDG,Individuals using the Internet (% of population),1.63,2.3,4.713662899
Maldives,MDV,Individuals using the Internet (% of population),24.8,38.9301,59.09258997
Middle East & North Africa,MEA,Individuals using the Internet (% of population),21.73891308,31.80112808,48.49469226
Mexico,MEX,Individuals using the Internet (% of population),26.34,39.75,59.540446
Marshall Islands,MHL,Individuals using the Internet (% of population),5.6,12.5,29.78777936
Middle income,MIC,Individuals using the Internet (% of population),17.77110072,28.39474425,39.90992924
North Macedonia,MKD,Individuals using the Internet (% of population),51.77,57.44994731,72.15681447
Mali,MLI,Individuals using the Internet (% of population),1.8,2.8,11.11218649
Malta,MLT,Individuals using the Internet (% of population),58.86,68.19987429,78.0751488
Myanmar,MMR,Individuals using the Internet (% of population),0.22,4,25.07330424
Middle East & North Africa (excluding high income),MNA,Individuals using the Internet (% of population),17.86957336,26.40445919,43.21821218
Montenegro,MNE,Individuals using the Internet (% of population),35.1,56.83878255,69.88164684
Mongolia,MNG,Individuals using the Internet (% of population),10,16.4,22.2657705
Northern Mariana Islands,MNP,Individuals using the Internet (% of population),,,
Mozambique,MOZ,Individuals using the Internet (% of population),2.68,6,17.52123909
Mauritania,MRT,Individuals using the Internet (% of population),2.28,5,18
Mauritius,MUS,Individuals using the Internet (% of population),22.51,35.42,52.19132594
Malawi,MWI,Individuals using the Internet (% of population),1.07,4.3506,11.47
Malaysia,MYS,Individuals using the Internet (% of population),55.9,65.8,78.78830993
North America,NAC,Individuals using the Internet (% of population),71.9250964,75.53352977,86.11499711
Namibia,NAM,Individuals using the Internet (% of population),6.5,12.9414,31.03334594
New Caledonia,NCL,Individuals using the Internet (% of population),33.99,58,
Niger,NER,Individuals using the Internet (% of population),0.76,1.05,4.32275803
Nigeria,NGA,Individuals using the Internet (% of population),9.3,16.1,25.67
Nicaragua,NIC,Individuals using the Internet (% of population),7.3,13.5,24.57183396
Netherlands,NLD,Individuals using the Internet (% of population),89.63,92.85999236,90.4109589
Norway,NOR,Individuals using the Internet (% of population),92.08,94.64997805,97.29820367
Nepal,NPL,Individuals using the Internet (% of population),1.97,11.1493,19.68876384
Nauru,NRU,Individuals using the Internet (% of population),,,
New Zealand,NZL,Individuals using the Internet (% of population),79.7,81.64447018,88.47018635
OECD members,OED,Individuals using the Internet (% of population),65.44939147,71.04856215,80.71077102
Oman,OMN,Individuals using the Internet (% of population),26.8,60,76.84539047
Other small states,OSS,Individuals using the Internet (% of population),20.85525103,31.44283299,46.29104983
Pakistan,PAK,Individuals using the Internet (% of population),7.5,9.96,12.38544676
Panama,PAN,Individuals using the Internet (% of population),39.08,40.30189522,54
Peru,PER,Individuals using the Internet (% of population),31.4,38.2,45.46174069
Philippines,PHL,Individuals using the Internet (% of population),9,36.2351,55.5
Palau,PLW,Individuals using the Internet (% of population),,,
Papua New Guinea,PNG,Individuals using the Internet (% of population),1.61,3.5,9.601538462
Poland,POL,Individuals using the Internet (% of population),58.97,62.30999727,73.3007041
Pre-demographic dividend,PRE,Individuals using the Internet (% of population),4.373991995,8.58560482,16.5090307
Puerto Rico,PRI,Individuals using the Internet (% of population),41.5,68.9999826,68.6438072
"Korea, Dem. People’s Rep.",PRK,Individuals using the Internet (% of population),0,0,
Portugal,PRT,Individuals using the Internet (% of population),48.27,60.33999749,70.42356709
Paraguay,PRY,Individuals using the Internet (% of population),18.9,29.34,53.40412748
West Bank and Gaza,PSE,Individuals using the Internet (% of population),32.23,43.4,61.17838483
Pacific island small states,PSS,Individuals using the Internet (% of population),10.86846695,20.61448471,30.23606451
Post-demographic dividend,PST,Individuals using the Internet (% of population),68.89431913,74.24816146,83.20461215
French Polynesia,PYF,Individuals using the Internet (% of population),44.6,52.87663059,68.44041949
Qatar,QAT,Individuals using the Internet (% of population),53.1,69.3,95.12466217
Romania,ROU,Individuals using the Internet (% of population),36.6,45.87999425,59.50395129
Russian Federation,RUS,Individuals using the Internet (% of population),29,63.8,73.09143462
Rwanda,RWA,Individuals using the Internet (% of population),7.7,8.023854277,20
South Asia,SAS,Individuals using the Internet (% of population),5.166866096,11.53112865,20.23984948
Saudi Arabia,SAU,Individuals using the Internet (% of population),38,54,74.87927469
Sudan,SDN,Individuals using the Internet (% of population),,21,14.09999994
Senegal,SEN,Individuals using the Internet (% of population),7.5,10.8,25.66476804
Singapore,SGP,Individuals using the Internet (% of population),69,72,84.45226789
Solomon Islands,SLB,Individuals using the Internet (% of population),4,6.9974,11.00090227
Sierra Leone,SLE,Individuals using the Internet (% of population),0.26,2.5,11.77318438
El Salvador,SLV,Individuals using the Internet (% of population),12.11,20.32138772,28.99707305
San Marino,SMR,Individuals using the Internet (% of population),54.21,,
Somalia,SOM,Individuals using the Internet (% of population),1.160610542,1.3767,1.88
Serbia,SRB,Individuals using the Internet (% of population),38.1,48.1,67.05684137
Sub-Saharan Africa (excluding high income),SSA,Individuals using the Internet (% of population),4.604498533,10.2828145,19.33774262
South Sudan,SSD,Individuals using the Internet (% of population),,,6.679728051
Sub-Saharan Africa,SSF,Individuals using the Internet (% of population),4.604498533,10.28656847,19.34122243
Small states,SST,Individuals using the Internet (% of population),22.43499486,32.92957071,46.56373052
Sao Tome and Principe,STP,Individuals using the Internet (% of population),16.41,21.5724,28
Suriname,SUR,Individuals using the Internet (% of population),31.36,34.6812,45.4
Slovak Republic,SVK,Individuals using the Internet (% of population),70,76.70999012,80.47585728
Slovenia,SVN,Individuals using the Internet (% of population),64,68.34997453,75.49850426
Sweden,SWE,Individuals using the Internet (% of population),91,93.17998801,89.65094761
Eswatini,SWZ,Individuals using the Internet (% of population),8.94,20.78178258,28.57352278
Sint Maarten (Dutch part),SXM,Individuals using the Internet (% of population),,,
Seychelles,SYC,Individuals using the Internet (% of population),,47.076,56.51470815
Syrian Arab Republic,SYR,Individuals using the Internet (% of population),17.3,24.3001,31.86962727
Turks and Caicos Islands,TCA,Individuals using the Internet (% of population),,,
Chad,TCD,Individuals using the Internet (% of population),1.5,2.1,5
East Asia & Pacific (IDA & IBRD countries),TEA,Individuals using the Internet (% of population),24.08590155,36.52915947,48.72880783
Europe & Central Asia (IDA & IBRD countries),TEC,Individuals using the Internet (% of population),30.42741605,50.10621737,63.51476431
Togo,TGO,Individuals using the Internet (% of population),2.6,4,11.31
Thailand,THA,Individuals using the Internet (% of population),20.1,26.46,47.50496562
Tajikistan,TJK,Individuals using the Internet (% of population),10.07,14.51,20.47
Turkmenistan,TKM,Individuals using the Internet (% of population),1.95,7.1958,17.99032446
