,Country,Region,HPI,HPIRank,Year,Code,Internet,LifeExpect,GovHealth,PriHealth,PPP,PopDensity,UnEmployment,WomenParliamant,LaborForceFemale,SocialSupport,FreedomToChoice,Corruption
115,Slovenia,7b,44.53,66,2009,SVN,64,78.97073171,1699.893773,660.5642401,27475.9859,101.2453735,5.856999874,14.4,45.84685356,0.918696642,0.895956635,0.803634167
116,South Africa,4a,29.69,118,2009,ZAF,10,56.46,406.2999991,375.1097095,11416.00169,41.61027706,23.53800011,44.5,43.85086555,0.87735945,0.739409983,0.904342353
117,Spain,2e,43.19,76,2009,ESP,62.4,81.47560976,2200.712796,718.1079963,32391.02051,92.97506517,17.85700035,36.6,43.78865356,0.92945385,0.748514712,0.797704637
118,Sri Lanka,5a,56.55,22,2009,LKA,8.78,75.286,149.8478703,214.7742503,7674.350942,320.897911,5.849999905,5.8,33.92398937,0.829611897,0.798871219,0.689926445
119,Sudan,4b,28.55,121,2009,SDN,NA,62.33,120.0086996,161.1904891,3262.020338,..,13,18.9,24.36631444,0.911406994,0.70997864,0.701229393
120,Sweden,2d,47.99,53,2009,SWE,91,81.35121951,2919.656271,642.5956602,39694.97557,22.66051323,8.350999832,46.4,47.39684525,0.902532995,0.864004612,0.292112172
121,Switzerland,2c,48.05,52,2009,CHE,81.3,82.04390244,3482.273661,2142.924049,51769.04989,195.9669706,4.116000175,29,46.26032047,0.938339293,0.891277194,0.342427015
122,Syria,3b,51.32,38,2009,SYR,17.3,72.938,78.64711753,94.65434403,..,115.4752396,8.140000343,12.4,15.11762992,0.842402101,0.74825877,0.687760472
123,Tajikistan,7a,53.48,34,2009,TJK,10.07,68.36,21.22122139,79.90559996,1986.596247,52.62041298,11.5,17.5,34.45325134,0.67565304,0.743786514,0.791703999
124,Tanzania,4b,17.79,142,2009,TZA,2.4,57.666,28.72251019,33.93410068,2088.519946,48.62704222,2.5,30.7,49.3935349,0.836828411,0.606549144,0.902627051
125,Thailand,6c,50.9,41,2009,THA,20.1,73.766,333.5106916,107.7898207,12207.96845,130.8830453,1.039000034,13.3,45.81171068,0.89324528,0.868223727,0.903822482
126,Togo,4c,23.28,135,2009,TGO,2.6,56.818,11.72461938,41.32903648,1164.346278,114.9261813,1.889000058,11.1,50.0020835,NA,NA,NA
127,Trinidad and Tobago,1a,54.21,30,2009,TTO,44.3,71.71,782.3987884,857.3829502,29454.02792,257.4912281,3.648000002,26.8,41.29480378,NA,NA,NA
128,Tunisia,3a,54.31,29,2009,TUN,34.07,74.88,307.9720324,245.9008505,9868.305639,67.75034758,13.29100037,27.6,26.70755014,NA,0.781496286,0.722210646
129,Turkey,3b,41.7,83,2009,TUR,36.4,74.074,689.7296055,167.0984936,15489.87192,92.66972311,12.55200005,9.1,28.13097242,0.754645526,0.455817074,0.852887154
130,Uganda,4b,30.21,117,2009,UGA,9.78,56.06,32.84687375,90.22311363,1500.178502,157.2048246,3.599999905,31.5,48.21444785,0.852087021,0.760231495,0.840422809
131,Ukraine,7c,38.07,95,2009,UKR,17.9,69.19,278.5912991,195.8249801,7267.415871,79.49544293,8.840000153,8,48.20044306,0.845293224,0.460348487,0.962244451
132,United Arab Emirates,3b,28.16,123,2009,ARE,64,76.145,1765.42367,630.5531927,56975.52938,111.4808786,2.698999882,22.5,11.14164459,0.885089338,0.848821878,0.338876456
133,United Kingdom,2c,43.31,74,2009,GBR,83.56,80.05121951,2520.593172,439.2951847,34769.39632,257.4144174,7.537000179,19.5,45.94333079,0.964428782,0.816228807,0.558927298
134,United States,2b,30.73,114,2009,USA,71,78.3902439,3718.287327,3980.609427,47099.98047,33.53639923,9.25399971,16.8,46.16950265,0.911793768,0.830683827,0.665393829
135,Uruguay,1c,37.24,99,2009,URY,41.8,76.603,788.6630992,532.4454216,15456.18466,19.13881842,7.739999771,14.1,44.5013508,0.923861444,0.82504946,0.543947875
136,Uzbekistan,7a,50.07,45,2009,UZB,11.9,69.435,95.41237512,98.67239188,3893.265249,65.27362482,5.039999962,22,42.00274896,0.904677987,NA,0.610257804
